"Id","Title","Price","CPU_Brand","CPU_Type","CPU_Speed","CPU_Cores","GPU","RAM in GB","Hard Drive / Type","Hard Drive / Capacity (GB)"
"878866"," Toshiba Tecra Z40 C 136 Ultrabook Pt463E 09G0Ejen","905.81","Intel","Core i7","2.6GHz",,"Intel HD Graphics 520","8","SSD","256"
"878870"," Toshiba Satellite Pro R50 C 17Z Laptop Ps581E 05P04Fen","379.15","Intel","Core i3","2.4GHz","Dual-Core","Intel HD Graphics 620","4","SSD","128"
"878887"," Toshiba Port G X30 E 16Q Laptop Pt282E 0Gp02Hen","955.81","Intel","Core i7","1.8GHz",,"Intel UHD Graphics 620","16","SSD","512"
"878973"," Asus Tuf Fx705Du Ryzen 7 8Gb 512Gb Ssd Gtx 1660Ti 17 3 Win10 Fx705Du Au024T","1045.81","AMD","Ryzen 7","2.3GHz","Quad-Core","NVIDIA GeForce GTX 1660 Ti","8","SSD","512"
"878977"," Asus Rog Strix Hero I7 16Gb Nvidia Rtx 2060 Gaming Laptop G531Gv Es037T","1566.65","Intel","Core i7","2.6GHz","6-core","NVIDIA GeForce RTX 2060","16","SSD","512"
"878978"," Asus Rog Zephyrus M Intel I7 9750H Nvidia Rtx 2060 16Gb 512Gb Ssd Gu502Gv Es004T","1652.95","Intel","Core i7","2.6GHz","6-core","NVIDIA GeForce RTX 2060","16","SSD","512"
"878990"," Rog Rtx 2080 8Gb G703Gxr Ev003T","2903.81","Intel","Core i7","2.6GHz","6-core","NVIDIA GeForce RTX 2080","32","SSD","512"
"879451"," Coda Spark 11 6 32Gb Laptop Coda006","75.34","Intel","Celeron","1.1GHz","Dual-Core","Intel HD Graphics 500","2","SSD","32"
"879453"," Coda Zest 10 1 32Gb 2 In 1 Laptop Coda002","66.65","Intel","Celeron","1.1GHz","Dual-Core","Intel HD Graphics 500","2","SSD","32"
"879510"," Hp 250G7 6Mp21Es I5 8 256 W10 6Mp21Es Abu","333.32","Intel","Core i5","1.6GHz","Quad Core","Intel UHD Graphics","8","SSD","256"
"880125"," Razer Blade 15 I7 Rtx Advanced Max Q Gaming Laptop Rz09 02887W52 R3W1","2149.99","Intel","Core i7","2.2GHz","6-core","NVIDIA GeForce RTX 2070","16","SSD","512"
"881091"," Dell Latitude 3500 15 Core I5 4Gb 1Tb Hdd Win10 Pro Laptop 4Vty9","416.62","Intel","Core i5","1.6GHz","Quad-Core","Intel UHD Graphics 620","4","HDD","1000"
"881092"," Dell Vostro 3580 15 Core I5 8Gb 256Gb Ssd Win10 Pro Laptop Cjwtv","473.76","Intel","Core i5","1.6GHz","Quad-Core","Intel UHD Graphics 620","8","SSD","256"
"881093"," Dell Latitude 3500 14 Core I5 8Gb 256Gb Ssd Win10 Pro Laptop 1Cc8R","550.70","Intel","Core i5","1.6GHz","Quad-Core","Intel UHD Graphics 620","8","SSD","256"
"881094"," Dell Vostro 3580 15 Core I3 8Gb 256Gb Ssd Win10 Pro Laptop W2K4G","433.99","Intel","Core i3","2.1GHz","Dual-Core","Intel UHD Graphics 620","8","SSD","256"
"881096"," Latitude 3500 Intel Core I3 8145U 4M Cache 3 90 Ghz 8Gb 1X8Gb 2666Mhz 6Pr0X","430.18","Intel","Core i3","2.1GHz","Dual-Core","Intel UHD Graphics 620","8","SSD","256"
"881990"," Hp Elitebook X360 1030 G2 Core I7 8Gb 256Gb Ssd 13 3 Win10 1Ep21Ea Abu","1827.48","Intel","Core i7","2.7GHz","Dual-Core","Intel HD Graphics 620","8","SSD","256"
